status,current,target,score,secondScore,sourceTitle,reason
skip,2025-02-19 13-00-51.mp4,,0.000,0.000,,no high-confidence title match
skip,A_491__Scream Dream_20251120233633.mp4,,0.579,0.556,,no high-confidence title match
skip,A_Brief_Reunion.wmv,,0.778,0.500,,no high-confidence title match
skip,A_Miss_Browns_Clones.wmv,,0.465,0.432,,no high-confidence title match
skip,A_Shard_of_Revenge.wmv,,0.615,0.611,,no high-confidence title match
skip,A_Sudden_crazy.mp4,,0.595,0.432,,no high-confidence title match
skip,Agent Defeated.mp4,,0.667,0.564,,no high-confidence title match
rename,Althena_mark_of_a_heroineAAAAA.mp4,Athena 3 - Mark of a HeroineAAA.mp4,0.941,0.842,VV#96 – Athena 3: Mark of a Heroine,
rename,Amazon 2 -- An Amazon Amongst UsAAAAA.mp4,The Amazon - An Amazon Amongst UsAAA.mp4,0.900,0.818,VV#111 – The Amazon: An Amazon Amongst Us,
skip,Amazon 2 -- An Amazon Amongst UsAAAAA_20251121233738.mp4,The Amazon - An Amazon Amongst UsAAA.mp4,0.900,0.818,VV#111 – The Amazon: An Amazon Amongst Us,source missing or target exists at execution
rename,Andromeda Beauty and the Beast.mp4,Andromeda - Beauty and the Beast.mp4,1.000,0.909,VV#145 – Andromeda: Beauty and the Beast,
keep,Athena 2 - RRS Factor.mp4,Athena 2 - RRS Factor.mp4,1.000,0.889,VV#89 – Athena 2: RRS Factor,already named
rename,Athena4 dark_amazon.mp4,Athena 4 - Dark Amazon.mp4,0.974,0.844,VV#128 – Athena 4: Dark Amazon,
skip,Athena_Amazon_OnslaughtAAAAAAA.mp4,,0.697,0.612,,no high-confidence title match
skip,bait+and+switch+version+2.mp4,,0.625,0.531,,no high-confidence title match
skip,bait+and+switch.mp4,,0.789,0.514,,no high-confidence title match
skip,Beauty spy strangled I - TEST.mp4,,0.542,0.531,,no high-confidence title match
skip,Beauty spy strangled II - TEST.mp4,,0.535,0.531,,no high-confidence title match
skip,Black Bird 1 - Cry Of Vengeance.mp4,,0.577,0.402,,no high-confidence title match
skip,Black Bird 2 AAAAAAAA.mp4,,0.479,0.421,,no high-confidence title match
skip,Black Bird 3_victory_cry_good.mp4,,0.829,0.718,,no high-confidence title match
skip,Black Bird 4 Solitary Cry.mp4,,0.600,0.546,,no high-confidence title match
skip,Black_canary_good.mp4,,0.514,0.514,,no high-confidence title match
skip,Blackbird_Cry_of_vengeance_AAAAA.mp4,,0.703,0.545,,no high-confidence title match
skip,BluestOne - SupErn0va 32.mp4,,0.488,0.478,,no high-confidence title match
skip,Boobs & Cunts (Alexis Monroe as Wonderous Slut).mp4,,0.440,0.425,,no high-confidence title match
skip,Bountyhuntress_Revenge_S.S.#12.mp4,,0.863,0.863,,ambiguous title match
rename,Call_Of_The_Executioner.avi,SNB-#67 - Call of the Executioner.avi,0.868,0.714,SNB-#67 – Call of the Executioner,
skip,Catwarrior 1.mp4,,0.706,0.688,,no high-confidence title match
rename,Catwarrior 10 - Ensnared VVAAAAAAA.mp4,Catwarrior 10 - EnsnaredAAA.mp4,0.936,0.868,VV#118 – Catwarrior 10: Ensnared,
rename,Catwarrior 12 hard vs dimond.mp4,Catwarrior 12 - Hard As A Diamond.mp4,0.915,0.831,VV#130 – Catwarrior 12: Hard As A Diamond,
skip,Catwarrior 12_HardDiamond.mp4,Catwarrior 12 - Hard As A Diamond.mp4,0.893,0.806,VV#130 – Catwarrior 12: Hard As A Diamond,source missing or target exists at execution
rename,Catwarrior 2 Cat vs Jackal Peril.mp4,Catwarrior 2 - Cat vs. Jackal (Peril).mp4,1.000,0.809,SS#19 – Catwarrior 2: Cat vs. Jackal (Peril),
skip,Catwarrior 3 Extreme_good.mp4,,0.714,0.714,,no high-confidence title match
rename,Catwarrior 4_ Wiplash Encounter.mp4,Catwarrior 4 - Whiplash Encounter.mp4,0.984,0.896,VV#27 – Catwarrior 4: Whiplash Encounter,
skip,Catwarrior 5.mp4,,0.800,0.667,,no high-confidence title match
skip,Catwarrior 6.mp4,,0.800,0.688,,no high-confidence title match
skip,Catwarrior 7 (peril).mp4,,0.756,0.739,,no high-confidence title match
rename,Catwarrior 8 captured kitty`.mp4,Catwarrior 8 - Captured Kitty (Peril).mp4,0.900,0.708,SS#80- Catwarrior 8: Captured Kitty (Peril),
rename,Catwarrior13 Claws_of_the_cat.mp4,Catwarrior 13 - Claws of the Cat.mp4,0.983,0.892,VV#133 – Catwarrior 13: Claws of the Cat,
skip,Catwoman 14_Dark_Assignment.mp4,,0.707,0.624,,no high-confidence title match
skip,Dark Canary 2 Showdown ExtremeAAAAAA.mp4,,0.714,0.557,,no high-confidence title match
skip,Dark Canary showdown.mov,,0.667,0.549,,no high-confidence title match
skip,Dark Canary ShowdownAAAAAA.mp4,,0.667,0.549,,no high-confidence title match
skip,Dark Canary ST version.wmv,,0.613,0.604,,no high-confidence title match
skip,Dark Canary_Showdown.mp4,,0.667,0.549,,no high-confidence title match
rename,Dark Canary_To_Catch_a_Predator.wmv,Dark Canary - To Catch a Predator.wmv,1.000,0.923,VV#5 – Dark Canary: To Catch a Predator,
skip,dark guardian shockwave.mp4,,0.582,0.458,,no high-confidence title match
skip,Dark Widow - The Medusa Agenda.mp4,,1.000,1.000,,ambiguous title match
rename,Dark Widow - Widows Bite.mp4,Dark Widow 3 - Widow's Bite.mp4,0.936,0.830,VV#36 – Dark Widow 3: Widow’s Bite,
skip,Dark Widow.mp4,,0.571,0.571,,no high-confidence title match
skip,Dark Widow_-_The_Medusa_Agenda.wmv,,1.000,1.000,,ambiguous title match
skip,Dark Widow_2_The_Real_Deal.mp4,,0.769,0.741,,no high-confidence title match
rename,Dark_Bat_1.mp4,Dark Bat.mp4,0.889,0.750,VV#113 – Dark Bat,
skip,Dark_Bat_2.mp4,Dark Bat.mp4,0.889,0.750,VV#113 – Dark Bat,source missing or target exists at execution
rename,Dark_Bat_3 Cutting the ribbon of .mp4,Dark Bat 3 - Cutting the Ribbon of Life.mp4,0.933,0.875,VV#119 – Dark Bat 3 – Cutting the Ribbon of Life,
skip,DarkBat Cutting the Ribbon of life.mp4,Dark Bat 3 - Cutting the Ribbon of Life.mp4,0.958,0.883,VV#119 – Dark Bat 3 – Cutting the Ribbon of Life,source missing or target exists at execution
skip,DarkBat.mp4,Dark Bat.mp4,0.933,0.667,VV#113 – Dark Bat,source missing or target exists at execution
